FID,StepWise_Estimate
157859,0.017881804
158246,0.030703369
158907,0.012026117
158906,0.041089685
158908,0.230952926
160499,0.010463445
161337,0.026938655
162069,0.000776439
161527,0.009224767
162383,0.004052902
162471,0.073769951
162800,0.021463519
163061,0.00300637
163731,0.012500092
163859,0.011022967
164991,0.034670664
164993,0.033103398
164994,0.086434409
164995,0.033141287
164996,0.032604062
166531,0.00835354
167955,0.032032577
168792,0.013520092
172777,0.023329523
173013,0.095744406
173101,0.003128919
173102,0.00282828
173770,0.002902526
173771,0.004878319
174538,0.040885882
175551,0.011877833
175552,0.012969757
176074,0.034512006
178354,0.00900894
180062,0.006438241
180548,0.006480558
183138,0.009680453
184274,0.028545866
184915,0.00254932
185351,0.035103606
186377,0.007002987
188074,0.027978346
189048,0.00233292
188907,0.116161362
191811,0.019056462
193175,0.006066173
194128,0.013852803
195282,0.006445631
195280,0.072315931
199185,0.040972922
199276,0.020190726
199275,0.004658109
199280,0.050872038
199277,0.06371096
202086,0.02695783
206883,0.020820439
208965,0.052702894
210035,0.051696976
210528,0.013904864
210672,0.050855649
211402,0.014114923
212746,0.106202822
213949,0.054799556
214719,0.009612422
214930,0.009385619
215738,0.010509005
217245,0.002068165
217471,0.00148138
217561,0.001354026
217613,0.006281887
219073,0.007017874
221529,0.011740359
224344,0.01994053
225549,0.009954446
226569,0.023333208
227490,0.015277605
227771,0.032171348
228999,0.034747207
229655,0.014572076
231563,0.005583005
231594,0.109671061
231595,0.044183961
231798,0.015475354
232221,0.016069335
236288,0.02948845
240241,0.008982092
240956,0.020053471
242659,0.018314778
242773,0.067182668
244203,0.024278459
251590,0.001132693
252517,0.020017019
254967,0.020490536
257248,0.022426812
258129,0.027624271
258469,0.012072824
258484,0.010564055
258485,0.010401537
258841,0.026889446
259143,0.007206008
259142,0.010823709
263192,0.010295164
263383,0.031645522
264833,0.015101579
264881,0.009113157
266370,0.008686149
266596,0.001342464
266890,0.001630062
268446,0.012515754
271175,0.004844245
269238,0.006241944
269240,0.031987641
271633,0.014937774
273296,0.10188419
276629,0.009164016
279027,0.006982181
280714,0.010046111
281224,0.007773546
281889,0.010600245
285906,0.007226631
286385,0.006506789
287077,0.081520717
288612,0.008269716
287243,0.027942676
290657,0.028385002
